Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Sex and Age,Total population,712461,(+/- 7745 ),705034,(+/- 4948 ),717162,(+/- 6980 ),732469,(+/- 5162 ),709326,(+/- 8679 )
People,Sex and Age,Male,341205,(+/- 5483 ),353014,(+/- 4123 ),348682,(+/- 5077 ),355824,(+/- 3846 ),346428,(+/- 7354 )
People,Sex and Age,Female,371256,(+/- 4619 ),352020,(+/- 3436 ),368480,(+/- 4973 ),376645,(+/- 4139 ),362898,(+/- 6351 )
People,Sex and Age,Under 5 years,37882,(+/- 2124 ),32924,(+/- 1963 ),33662,(+/- 2532 ),42242,(+/- 1566 ),38319,(+/- 3375 )
People,Sex and Age,5 to 9 years,42037,(+/- 2575 ),36604,(+/- 2943 ),37868,(+/- 2850 ),47649,(+/- 3062 ),36730,(+/- 2642 )
People,Sex and Age,10 to 14 years,47219,(+/- 3110 ),39728,(+/- 2923 ),42536,(+/- 3041 ),50638,(+/- 3657 ),43889,(+/- 3581 )
People,Sex and Age,15 to 19 years,48658,(+/- 2085 ),51648,(+/- 2079 ),52081,(+/- 2153 ),52291,(+/- 2297 ),44637,(+/- 2995 )
People,Sex and Age,20 to 24 years,45298,(+/- 2498 ),58577,(+/- 2708 ),54928,(+/- 3256 ),46380,(+/- 2251 ),44290,(+/- 3646 )
People,Sex and Age,25 to 34 years,93391,(+/- 3067 ),81005,(+/- 2826 ),99229,(+/- 3341 ),84866,(+/- 2341 ),78105,(+/- 4304 )
People,Sex and Age,35 to 44 years,87671,(+/- 3024 ),76524,(+/- 2421 ),82523,(+/- 3351 ),93698,(+/- 2476 ),84076,(+/- 4803 )
People,Sex and Age,45 to 54 years,100158,(+/- 2984 ),105914,(+/- 2616 ),101945,(+/- 2789 ),109158,(+/- 2964 ),107554,(+/- 4144 )
People,Sex and Age,55 to 59 years,49897,(+/- 2752 ),52180,(+/- 2356 ),52713,(+/- 3259 ),53573,(+/- 2862 ),57097,(+/- 3665 )
People,Sex and Age,60 to 64 years,45668,(+/- 2611 ),51298,(+/- 2556 ),45566,(+/- 3398 ),46609,(+/- 2450 ),50679,(+/- 3492 )
People,Sex and Age,65 to 74 years,61918,(+/- 2421 ),69667,(+/- 1878 ),64579,(+/- 2543 ),57976,(+/- 2300 ),69495,(+/- 3870 )
People,Sex and Age,75 to 84 years,32104,(+/- 2012 ),33222,(+/- 1741 ),31077,(+/- 2107 ),32255,(+/- 2033 ),35652,(+/- 2677 )
People,Sex and Age,85 years and over,20560,(+/- 2000 ),15743,(+/- 1581 ),18455,(+/- 1926 ),15134,(+/- 1757 ),18803,(+/- 1880 )
People,Sex and Age,Median age (years),40.2,(+/- 0.5 ),41.9,(+/- 0.6 ),39.5,(+/- 0.7 ),39.8,(+/- 0.5 ),43.2,(+/- 0.9 )
People,Sex and Age,18 years and over,556616,(+/- 6561 ),569925,(+/- 3785 ),575624,(+/- 5558 ),560314,(+/- 4222 ),561811,(+/- 7825 )
People,Sex and Age,65 years and over,114582,(+/- 3089 ),118632,(+/- 2482 ),114111,(+/- 3242 ),105365,(+/- 3082 ),123950,(+/- 4504 )
People,Race,Total population,712461,(+/- 7745 ),705034,(+/- 4948 ),717162,(+/- 6980 ),732469,(+/- 5162 ),709326,(+/- 8679 )
People,Race,One race,689085,(+/- 8460 ),681084,(+/- 6145 ),696048,(+/- 8306 ),707706,(+/- 6119 ),691005,(+/- 9083 )
People,Race,White,492998,(+/- 9702 ),609068,(+/- 6463 ),520873,(+/- 10407 ),536758,(+/- 7285 ),582195,(+/- 11960 )
People,Race,Black or African American,110578,(+/- 4276 ),28710,(+/- 2571 ),100372,(+/- 5707 ),92198,(+/- 3959 ),47074,(+/- 6706 )
People,Race,American Indian and Alaska Native,2065,(+/- 1439 ),2382,(+/- 906 ),1482,(+/- 1548 ),2429,(+/- 1471 ),1529,(+/- 622 )
People,Race,Asian,36482,(+/- 2939 ),25011,(+/- 1820 ),35905,(+/- 2851 ),38601,(+/- 2898 ),25951,(+/- 3589 )
People,Race,Native Hawaiian and Other Pacific Islander,82,(+/- 103 ),59,(+/- 76 ),357,(+/- 302 ),444,(+/- 416 ),317,(+/- 268 )
